Catchment,Area (m²),Ice Discharge (kg/yr),Ice Yield (kg m⁻² yr⁻¹),Sediment Yield (kg m⁻² yr⁻¹),Total Flux (kg/yr),Gate Number,Gate Longitude,Gate Latitude
Gate 123.0,790530000.0,645301655186.3378,816.2899006822483,0.7140286322618751,564461054.6619802,123.0,-323557.0198329847,-1756208.35755814
Gate 51.0,799220000.0,632946996801.0948,791.9559030068002,0.7013616575208323,560542263.9237996,51.0,-487178.36638830823,-1396477.6889534893
Gate 268.0,1843990000.0,355140469215.597,192.59348977792558,0.3039204161940927,560426208.257745,268.0,166906.9676409183,-2818194.113372132
Gate 179.0,1683240000.0,361642426668.67505,214.84899756937517,0.324226571787505,545751134.6955999,179.0,664571.8945720289,-2259191.0610465193
Gate 312.0,369110000.0,996421978037.9086,2699.525827091947,1.4485631977203999,534679161.9105768,312.0,126301.6701461407,-3099896.4389535775
Gate 325.0,463610000.0,846289190971.9924,1825.4334267422887,1.1493129299015241,532832967.4316456,325.0,106699.11273486594,-3149514.462209405
Gate 154.0,1929550000.0,296905453782.1959,153.872899786062,0.2661375580935165,513525725.2193448,154.0,656970.902922759,-2092930.6686046564
Gate 202.0,784960000.0,539648163244.50616,687.4849205622021,0.6450671825406091,506351935.6070765,202.0,493349.55636743637,-2383436.191860484
Gate 69.0,296510000.0,1020469434298.5809,3441.6020852537213,1.6723184795933188,495859152.38421494,69.0,-389165.57933194283,-1459300.5087209344
Gate 90.0,269010000.0,1000198537616.1864,3718.071958723417,1.750516370386678,470906408.79772025,90.0,-352760.8298538647,-1546932.3401162836
Gate 89.0,269010000.0,979457743722.1859,3640.9715018853794,1.7289551514884856,465106225.3019175,89.0,-350760.56889352814,-1539329.578488372
Gate 63.0,218920000.0,1008213665243.4437,4605.397703469047,1.9867378775456037,434936656.15228355,63.0,-408768.1367432142,-1435691.9331395326
Gate 108.0,366430000.0,676556322249.77,1846.345338126709,1.1570819823821676,423989550.8042977,108.0,-322956.9415448838,-1626361.1918604644
Gate 157.0,478020000.0,555986907821.2113,1163.103861389087,0.8803684706742532,420833736.3517065,157.0,-203941.41440501148,-2102734.229651171
Gate 74.0,19040960000.0,41084777178.3198,2.1577051355771872,0.021333330565892525,406207093.97193694,74.0,-378764.22233820567,-1472905.4505813988
Gate 49.0,702460000.0,388820043972.0555,553.5120063378064,0.5674513545223165,398611878.49774647,49.0,-517382.30688935553,-1389275.072674422
Gate 343.0,588730000.0,428821259966.5921,728.3835713596931,0.6674956097769407,392974690.3439783,343.0,80695.7202505223,-3213537.7180233705
Gate 93.0,1154540000.0,257262288322.46402,222.82665678318986,0.3312938912983201,382492049.2595625,93.0,-353560.93423799693,-1586946.875000004
Gate 314.0,638920000.0,358970455266.3,561.8394404092844,0.5724851956014815,365772241.17369854,314.0,116900.44363257245,-3106498.837209394
Gate 185.0,19920000.0,3781073521698.003,189812.9277960845,17.920840158283017,356983135.9529977,185.0,605564.1962421736,-2286801.090116293
Gate 280.0,465500000.0,423698857495.7189,910.2016272732951,0.7615298441788272,354492142.46524405,280.0,174908.01148225678,-2865611.337209352
Gate 148.0,811750000.0,287864779083.0613,354.6224565236357,0.4360802516648115,353988144.28891075,148.0,694575.8089770396,-2057517.8052325656
Gate 260.0,3586970000.0,102498134122.51419,28.575130018515402,0.09832348508139888,352683391.28242534,260.0,206112.0824634677,-2803388.7354651648
Gate 178.0,3728710000.0,98618578786.4489,26.448444310887385,0.09392728557579358,350227608.9993173,178.0,-206341.72755741127,-2245986.2645348865
Gate 15.0,13013770000.0,38937164688.1684,2.99199729887407,0.02588365058732896,336843875.503864,15.0,-7515.788100208498,-918704.1424418837
Gate 338.0,2367460000.0,125203194580.8931,52.885030615466825,0.14150662214121185,335011267.65443337,338.0,-107328.81002088028,-3199332.5581396525
Gate 58.0,5892250000.0,65975194820.07449,11.196944260694046,0.05649436353304257,332878913.52757007,58.0,-435571.6336116923,-1417685.3924418641
Gate 37.0,51080000.0,1618588714768.945,31687.328010355228,6.216494288073712,317538528.2348052,37.0,-481977.6878914394,-1268431.1773255763
Gate 223.0,579280000.0,283699116784.8157,489.7443667739533,0.5278236688423645,305757694.8870049,223.0,402137.6565762022,-2552497.6017442117
Gate 129.0,280490000.0,464308985118.5132,1655.3495137741565,1.0847156752689355,304251899.75618374,129.0,-306154.7494780799,-1820031.5406976796
Gate 50.0,598760000.0,271801335729.6006,453.940369646604,0.5046479938748446,302163032.81250197,50.0,-491178.88830897736,-1394877.1075581422
Gate 115.0,288260000.0,447581313983.87616,1552.7000415731497,1.0444135285697858,301062643.74552643,115.0,-324557.1503131534,-1685182.558139538
Gate 189.0,1052140000.0,175266278683.9622,166.58075796373313,0.27892596521801055,293469165.04447764,189.0,579360.7776617971,-2301206.3226744314
Gate 311.0,24910000.0,2238200425975.47,89851.48237557086,11.514811267507291,286833948.67360663,311.0,-197540.57933194845,-3090493.0232559103
Gate 229.0,503490000.0,275742963587.836,547.6632377759955,0.5638973233487359,283916663.33285505,229.0,296523.8778705647,-2618321.511627933
Gate 46.0,422930000.0,301669334288.8424,713.2843125076074,0.6592767559605761,278827918.39840645,46.0,-578590.2922755749,-1383673.0377906975
Gate 337.0,498690000.0,267533175601.3144,536.4719076005422,0.5570533403703292,277796930.30927944,337.0,-88926.40918580898,-3198332.194767558
Gate 238.0,7800000.0,4203913420091.247,538963.2589860574,33.22162096028111,259128643.49019265,238.0,203911.79540709985,-2715956.9767442136
Gate 153.0,92890000.0,750356153131.1475,8077.90023825113,2.769947928883084,257300463.11394966,153.0,-202741.25782880903,-2091130.0145348879
Gate 122.0,1005220000.0,134792245635.87491,134.09228391384465,0.24533663893302057,246617296.18825093,122.0,-321356.73277661664,-1735400.7994186012
Gate 191.0,296000000.0,308972971108.059,1043.827605094794,0.82579578587161,244435552.61799654,191.0,-211742.43215031305,-2306008.066860469
